"";"X";"entry_number";"X._fa";"prism.url";"dc.identifier";"eid";"dc.title";"dc.creator";"prism.publicationName";"prism.issn";"prism.volume";"prism.coverDate";"prism.coverDisplayDate";"prism.doi";"pii";"dc.description";"citedby_count";"prism.aggregationType";"subtype";"subtypeDescription";"author_count..limit";"author_count..total";"author_count..";"authkeywords";"article_number";"source_id";"fund_acr";"fund_no";"fund_sponsor";"openaccess";"openaccessFlag";"prism.eIssn";"prism.issueIdentifier";"prism.pageRange";"freetoread.value..";"freetoreadLabel.value..";"year"
"243";243;243;"true";"https://api.elsevier.com/content/abstract/scopus_id/85079822358";"SCOPUS_ID:85079822358";"2-s2.0-85079822358";"Winning box office with the right movie synopsis";"Hung Y.C.";"European Journal of Marketing";"03090566";"54";"2020-03-05";"5 Mar 2020";"10.1108/EJM-01-2019-0096";NA;"Purpose: Consumers often search for movie information and purchase tickets on the go. A synopsis is often provided by producers and theatres in mobile apps and websites. However, to the best of the authors’ knowledge, little research has investigated whether the synopsis has an impact on a movie’s box office. This research uses computerized text analysis in examining the influence of linguistic cues of a synopsis on the movie’s financial performance. This paper aims to show that language choice in a synopsis is a significant factor in predicting box office performance. Design/methodology/approach: A total usable sample of 5973 movies was collected using a web crawler. Computerised text analysis using linguistic inquiry and word count was adopted to analyse the movie synopses data. The empirical study comprises two phases. Phase 1 used exploratory factor analysis on 50 per cent of the sample (Sample 1) to establish the dimensionality of psychological processes as reflected in the linguistic expressions. The analysis identified 11 linguistic variables that loaded on four dimensions. The factor structure was replicated on an independent sample (Sample 2) using confirmatory factor analysis. Phase 2 tested the hypotheses using structure equation modelling. Findings: Results show that consistency between movie genres and linguistic cues in a film synopsis promotes movie box office revenue when linguistic cues shown in the synopsis confirm a consumer’s expectancies about a focal movie genre. Conversely, a synopsis reduces the movie box office revenue when the linguistic cues shown disconfirm the genre-based expectancies. These linguistic cues exert similar effects on action and crime films but different effects on comedies and drama films. Research limitations/implications: It is likely that consumer tastes and linguistic styles of film synopses have evolved over time. As a cross-sectional study, such changes were not taken into consideration in the current research. A longitudinal study in the future can reveal the dynamic relationship between film synopses and audience. Practical implications: Managerially, the findings show that a synopsis is an effective communication touch point to position a movie. This research provides concrete guidelines in crafting synopses with the “rights words’ aligned with movie-goers’ expectations within each specific genre. Beyond movie consumption, the research findings can be applied to other entertainment products, such as TV series and books. Originality/value: To our knowledge, this research is the first in studying the linguistic cues in synopses and its relation to box office performance. It addresses this knowledge gap by answering the basic question of whether movie synopses matter. Methodically, the paper marks the first attempt to use the two-step structural equation modelling method on computerised content analysis data.";7;"Journal";"ar";"Article";100;2;2;"Box office performance | Computerised content analysis | Expectancy confirmation | Linguistic cues | LIWC | Movie synopsis | Structure equation modelling";NA;22199;NA;"undefined";NA;0;FALSE;NA;"3";"594-614";NA;NA;2020
"244";244;244;"true";"https://api.elsevier.com/content/abstract/scopus_id/85079130868";"SCOPUS_ID:85079130868";"2-s2.0-85079130868";"How executives talk: Exploring marketing executive value articulation with computerized text analysis";"Key T.M.";"European Journal of Marketing";"03090566";"54";"2020-03-05";"5 Mar 2020";"10.1108/EJM-01-2019-0105";NA;"Purpose: This paper aims to explore how chief executive officers (CEOs) and C-suite marketing executives (chief marketing officers [CMOs], chief customer officers [CCOs], chief branding officers [CBOs], etc.) talk about marketing concepts to better understand how marketers can more effectively articulate their value and increase their strategic influence within the firm. Design/methodology/approach: Artificial intelligence-enabled computerized text analysis was used to identify and weight keywords from 266 CEO and C-suite marketing executive interviews. Custom marketing concept dictionaries were used to gauge overall marketing focus. Findings: The analysis revealed opportunities for C-suite marketers to align specific marketing concepts with that of CEOs for increased strategic influence. Comparisons between C-suite marketing roles showed that CMOs are more focused on marketing strategy than specialized C-suite marketing positions, such as CCO and CBO. This points to a potential decrease in strategic impact for marketing executives dependent on the specialization of their position. Research limitations/implications: Using IBM Watson’s black-box artificial intelligence may limit the ability to replicate results from the content analysis; however, the results identify important ways that marketing executives can use to increase their ability to articulate their value within the firm. Practical implications: C-suite marketing executives who want to increase the strategic alignment of their role with their firm must pay close attention to the marketing concepts they talk about, and how those align with their CEO’s marketing knowledge. The creation of specialized C-suite marketing roles may unintentionally limit the strategic thinking and firm-level impact of marketers. Originality/value: This paper represents the first use of artificial intelligence-enabled computerized text analysis to explore and compare executive speech acts to help increase marketing’s influence in the firm. It is also the first to explore differences in marketing concept use between C-suite marketing roles.";5;"Journal";"ar";"Article";100;2;2;"Artificial intelligence | Computerized text analysis | Marketing influence | Strategic marketing | Strategic planning";NA;22199;NA;"undefined";NA;0;FALSE;NA;"3";"546-569";NA;NA;2020
"245";245;245;"true";"https://api.elsevier.com/content/abstract/scopus_id/85076535289";"SCOPUS_ID:85076535289";"2-s2.0-85076535289";"A machine-learning based approach to measuring constructs through text analysis";"Tsao H.Y.(.";"European Journal of Marketing";"03090566";"54";"2020-03-05";"5 Mar 2020";"10.1108/EJM-01-2019-0084";NA;"Purpose: This paper aims to develop a novel and generalizable machine-learning based method of measuring established marketing constructs through passive analysis of consumer-generated textual data. The authors term this method scale-directed text analysis. Design/methodology/approach: The method first develops a dictionary of words related to specific dimensions of a construct that is used to assess textual data from any source for a specific meaning. The method explicitly recognizes both specific words and the strength of their underlying sentiment. Findings: Results calculated using this new approach are statistically equivalent to responses to traditional marketing scale items. These results demonstrate the validity of the authors’ methodology and show its potential to complement traditional survey approaches to assessing marketing constructs. Research limitations/implications: The method we outline relies on machine learning and thus requires either large volumes of text or a large number of cases. Results are reliable only at the aggregate level. Practical implications: The method detail provides a means of less intrusive data collection such as through scraped social media postings. Alternatively, it also provides a means of analyzing data collected through more naturalistic methods such as open-response forms or even spoken language, both likely to increase response rates. Originality/value: Scale-directed text analysis goes beyond traditional methods of conducting simple sentiment analysis and word frequency or percentage counts. It combines the richness of traditional textual and sentiment analysis with the theoretical structure and analytical rigor provided by traditional marketing scales, all in an automatic process.";8;"Journal";"ar";"Article";100;6;6;"Construct measurement | Machine learning | Text mining | Text scraping";NA;22199;NA;"undefined";NA;0;FALSE;NA;"3";"511-524";NA;NA;2020
"246";246;246;"true";"https://api.elsevier.com/content/abstract/scopus_id/85078424831";"SCOPUS_ID:85078424831";"2-s2.0-85078424831";"Business-to-Business E-Negotiations and Influence Tactics";"Singh S.K.";"Journal of Marketing";"00222429";"84";"2020-03-01";"1 March 2020";"10.1177/0022242919899381";NA;"E-negotiations, or sales negotiations over email, are increasingly common in business-to-business (B2B) sales, but little is known about selling effectiveness in this medium. This research investigates salespeople’s use of influence tactics as textual cues to manage buyers’ attention during B2B e-negotiations to win sales contract award. Drawing on studies of attention as a selection heuristic, the authors advance the literature on mechanisms of sales influence by theorizing buyer attention as a key mediating variable between the use of influence tactics and contract award. They use a unique, longitudinal panel spanning more than two years of email communications between buyers and salespeople during B2B sales negotiations to develop a validated corpus of textual cues that are diagnostic of salespeople’s influence tactics in e-negotiations. These e-communications data are augmented by salesperson in-depth interviews and survey, archival performance data, and a controlled experimental study with professional salespeople. The obtained results indicate that the concurrent use of compliance or internalization-based tactics as textual cues bolsters buyers’ attention and is associated with greater likelihood of contract award. In contrast, concurrent use of compliance and internalization-based tactics is prone to degrade buyer attention and likely to put the salesperson at a disadvantage in closing the contract award.";26;"Journal";"ar";"Article";100;3;3;"business to business | buyer attention | e-communication | linguistic | machine learning | negotiation | selling | text analysis";NA;22951;NA;"4–1814";NA;0;FALSE;"15477185";"2";"47-68";NA;NA;2020
"247";247;247;"true";"https://api.elsevier.com/content/abstract/scopus_id/85069448021";"SCOPUS_ID:85069448021";"2-s2.0-85069448021";"Does the CMO’s personality matter for web traffic? Evidence from technology-based new ventures";"Winkler H.";"Journal of the Academy of Marketing Science";"00920703";"48";"2020-03-01";"1 March 2020";"10.1007/s11747-019-00671-9";NA;"This study investigates whether the personalities of Chief Marketing Officers (CMOs) of technology-based new ventures affect how the increasing maturity of new ventures translates into web traffic. Drawing on upper echelon theory and the interactionist theory of job performance, we explain how certain personality traits from the five-factor model are relevant to the job demands a CMO faces in technology-based new ventures. We build a multi-source dataset on 627 new ventures and use a novel approach to measuring personality that is based on computer text analysis—specifically, the LIWC application—which we apply to the CMOs’ Twitter accounts. Our findings indicate that a CMO’s extraversion positively moderates the relationship between a new venture’s maturity and web traffic, while a CMO’s conscientiousness is a negative moderator of this relationship. These results have useful theoretical and practical implications for the role of the CMO and for marketing new ventures in general.";18;"Journal";"ar";"Article";100;3;3;"Chief marketing officer | Firm maturity | Personality | Technology-based new ventures";NA;24385;NA;"undefined";NA;0;FALSE;"15527824";"2";"308-330";"all";"All Open Access";2020
"248";248;248;"true";"https://api.elsevier.com/content/abstract/scopus_id/85106373785";"SCOPUS_ID:85106373785";"2-s2.0-85106373785";"New approaches to psychographic consumer segmentation: Exploring fine art collectors using artificial intelligence, automated text analysis and correspondence analysis";"Pitt C.S.";"European Journal of Marketing";"03090566";NA;"2020-02-07";"7 Feb 2020";"10.1108/EJM-01-2019-0083";NA;"Purpose: While the motivation for collecting art has received considerable attention in the literature, less is known about the characteristics of the typical art collector. This paper aims to explore these characteristics to develop a typology of art consumers using a mixed method approach over several studies. Design/methodology/approach: This is achieved by analyzing qualitative data, gathered via semi-structured interviews of art collectors, and quantitatively by means of natural language processing analysis and automated text analysis and using correspondence analysis to analyze and present the results. Findings: The study’s findings reveal four distinct clusters of art collectors based on their “Big Five” personality traits, as well as uncovering insights into how these types talk about their possessions. Research limitations/implications: In addition to contributing to the arts marketing literature, the findings provide a more nuanced understanding of consumers that managers can use for market segmentation and target marketing decisions in other markets. The paper also offers a methodological contribution to the literature on correspondence analysis by demonstrating the “doubling” procedure to deal with percentile data. Practical implications: In addition to contributing to the arts marketing literature, the findings provide a more nuanced understanding of art collectors that managers can use for market segmentation and target marketing decisions. The paper also offers a methodological contribution to the literature on correspondence analysis by demonstrating a non-traditional application of correspondence analysis using the “doubling” procedure. Buyer behavior in the fine art market is not exhaustively studied. By understanding the personality traits of consumers in the art market, sales forces can better provide assistance and product to consumers. Further, understanding the personalities of consumers is better for art retail spaces to better serve consumers. Originality/value: This paper demonstrates a unique mixed methods approach to analyzing unstructured qualitative data. It shows how text data can be used to identify measurable market segments for which targeted strategies can be developed.";25;"Journal";"ar";"Article";100;3;3;"Art collectors | Artificial intelligence | Automated text analysis | Correspondence analysis | Psychographic consumer segmentation | Psychographic segmentation | Quantitative analysis of qualitative data";NA;22199;NA;"undefined";NA;0;FALSE;NA;NA;NA;"all";"All Open Access";2020
"249";249;249;"true";"https://api.elsevier.com/content/abstract/scopus_id/85083798336";"SCOPUS_ID:85083798336";"2-s2.0-85083798336";"Is a Picture Worth a Thousand Words? An Empirical Study of Image Content and Social Media Engagement";"Li Y.";"Journal of Marketing Research";"00222437";"57";"2020-02-01";"1 February 2020";"10.1177/0022243719881113";NA;"Are social media posts with pictures more popular than those without? Why do pictures with certain characteristics induce higher engagement than some other pictures? Using data sets of social media posts about major airlines and sport utility vehicle brands collected from Twitter and Instagram, the authors empirically examine the influence of image content on social media engagement. After accounting for selection bias on the inclusion of image content, the authors find a significant and robust positive mere presence effect of image content on user engagement in both product categories on Twitter. They also find that high-quality and professionally shot pictures consistently lead to higher engagement on both platforms for both product categories. However, the effect of colorfulness varies by product category, while the presence of human face and image–text fit can induce higher user engagement on Twitter but not on Instagram. These findings shed light on how to improve social media engagement using image content.";161;"Journal";"ar";"Article";100;2;2;"image processing | natural language processing | social media analytics | user-generated content | visual marketing";NA;22961;"JNU";"undefined";"Jinan University";0;FALSE;"15477193";"1";"1-19";NA;NA;2020
"250";250;250;"true";"https://api.elsevier.com/content/abstract/scopus_id/85072713622";"SCOPUS_ID:85072713622";"2-s2.0-85072713622";"Mindful consumption: Three consumer segment views";"Milne G.R.";"Australasian Marketing Journal";"14413582";"28";"2020-02-01";"February 2020";"10.1016/j.ausmj.2019.09.003";"S1441358219302241";"As consumers are moving away from mindless consumerism, a mindful consumption literature has emerged that is based on Buddhist and psychological perspectives of mindfulness. While the idea of mindful consumption has great potential, there is little empirical research to date that comprehensively examines the consumer perspective on the role of mindfulness on consumption. To provide a grounded consumer perspective, the authors segment mindful consumption views from open-end text using a mixed method of clustering and text mining. By analyzing the segmentation structure, the authors discover various consumer views of mindful consumption, such as careful economic based consumption, monitoring activities of firms, and being informed about the impact of consumption choices. The authors compare the empirical results with the academic literature to provide directions for future research.";27;"Journal";"ar";"Article";100;3;3;"Mindful consumption | Mindfulness | Segmentation | Sustainability | Text mining";NA;17700155010;NA;"undefined";NA;0;FALSE;"18393349";"1";"3-10";NA;NA;2020
"251";251;251;"true";"https://api.elsevier.com/content/abstract/scopus_id/85078470711";"SCOPUS_ID:85078470711";"2-s2.0-85078470711";"A Text Mining Investigation of the Presence and Emotional Impact of Religious Language in Service Organizations’ Websites";"Asllani A.";"Services Marketing Quarterly";"15332969";"41";"2020-01-02";"2 January 2020";"10.1080/15332969.2019.1707376";NA;"Christian religious language in marketing communications is becoming more common, and many Christian-based service firms communicate religiosity via company websites. The impact of religious language in company websites has not been directly addressed, however. Consequently, using a novel text mining methodology, this research examines the presence and impact of religious language on organizations’ websites over a 10-year period, including the emotional sentiments of the language and their intensity. The most frequently used religious words are identified and discussed, as is how the religious language contributes to the emotional tone of the message.";0;"Journal";"ar";"Article";100;3;3;"emotions | religious firms | service firms | text mining | Web discourse";NA;3300147704;NA;"undefined";NA;0;FALSE;"15332977";"1";"68-87";NA;NA;2020
"252";252;252;"true";"https://api.elsevier.com/content/abstract/scopus_id/85147599237";"SCOPUS_ID:85147599237";"2-s2.0-85147599237";"Marketers; unintended consequences of improving the consumer food experience: Discovering the key drivers";"Capriello A.";"Case Studies on Food Experiences in Marketing, Retail, and Events";NA;NA;"2020-01-01";"1 January 2020";"10.1016/B978-0-12-817792-1.00004-6";NA;"This study aims to explore the key drivers of the unintended consequences of marketers’ strategies to improve the consumer food experience. With a focus on the evolution of studies between 2000 and 2019, this study adopts a comparative automated content analysis using Leximancer, a text-mining tool for analyzing and visualizing concepts and themes in texts. For this analysis, we select 52 relevant journal articles. The findings reveal that marketing strategies and policies are the key drivers of unintended consequences of improving the consumer experience, engendering critical issues including obesity, materialistic orientation, overeating, and customers’ unaware decision processes. We conclude by highlighting the importance of interdisciplinary and multidisciplinary studies to advance the research activity in this field.";0;"Book";"ch";"Book Chapter";100;2;2;"Automated content analysis | Consumer food experience | Food marketing | Leximancer | Unintended consequences";NA;21101133675;NA;"undefined";NA;0;FALSE;NA;NA;"35-49";NA;NA;2020
"253";253;253;"true";"https://api.elsevier.com/content/abstract/scopus_id/85125266902";"SCOPUS_ID:85125266902";"2-s2.0-85125266902";"Sense and Sensibility: What are Customers Looking for in Online Product Reviews? An Abstract";"Wang F.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2020-01-01";"2020";"10.1007/978-3-030-39165-2_254";NA;"Online product reviews have become the single, largest depository of supplementary information that customers use in their product search, evaluation, and purchase process. The innate value of online reviews lays in the valuable information they provide to prospective customers in their decision making. This has inspired researchers to identify the characteristics of helpful reviews. Extent research suggests that helpful reviews are often of certain numeric features, such as lengthy details and unequivocal rating (Karimi and Wang 2017; Mudambi and Schuff 2010). However, these numeric features do not reveal the nature of the review content. Recognizing the importance of review content, recent studies gear toward examining review content, with a focus on sentiment, using text analysis techniques (Cao et al. 2011; Salehan and Kim 2016). Apart from sentiment, the impact of other content characteristics of online reviews is largely unknown. This research explores online review content by decomposing and comparing three fundamental information components that a review may contain: sensory information (i.e., reviewer’s observation), cognitive information (i.e., thoughts/analysis), and affective information (i.e., emotions). These components are directly associated with three fundamental psychological processes (observation, thinking, and emotion) that people experience to interact with and make sense of the world. When writing a review, reviewers tangle various types of information together to construct narratives and express opinions, creating a complex review content. Readers, on the other side, retrieve and evaluate the information of all types to form an opinion on the quality and helpfulness of the review. Distinguishing these different information components and analyzing their direct and combined effects can significantly enhance our knowledge of consumer’s information needs and online search behavior. This research performs text analysis to capture the three types of information in online product reviews, analyze their patterns and effects on perceived information value. Results from analyzing a sample of 56,752 reviews from Amazon.com indicate that sensory information in online review content has a significantly positive effect on online review helpfulness; whereas, this effect is insignificant for cognitive information, and significantly negative for affective information. This indicates that review readers highly value reviewer’s observations and their expression of sensory experience, are indifferent toward reviewer’s thoughts and analysis, and dislike expression of emotions in review content. This pattern is more salient in reviews of search goods than those of experience goods.";0;"Book Series";"ch";"Book Chapter";100;2;2;"Affective information | Cognitive information | Online review | Sensory information | Text analysis";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"621-622";NA;NA;2020
"254";254;254;"true";"https://api.elsevier.com/content/abstract/scopus_id/85125226219";"SCOPUS_ID:85125226219";"2-s2.0-85125226219";"What Makes the Difference? Employee Social Media Brand Engagement: An Abstract";"Duncan S.Y.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2020-01-01";"2020";"10.1007/978-3-030-39165-2_219";NA;"Through the employee lens of business-to-business (B2B) firms, we explore word use through brand engagement and social media interaction to understand what makes the difference of those employees who rate their employer brands highly on social media, and those who do not. This content becomes a valuable source of information for marketing decision makers, as well as an interesting and rich new source of data for B2B marketing scholars. Fortunately, the recent past has not only seen a significant rise in the amount of unstructured textual data available to researchers, but also a noteworthy increase in the number and sophistication of tools available to perform textual content analysis using computers. One of the major computerized text analysis tools in use today is LIWC (Linguistic Inquiry and Word Count), the development of which is described by Pennebaker and his colleagues (Pennebaker et al. 2001). We conducted a textual content analysis of social media job evaluation site glassdoor.com using the LIWC software package to analyze 30 of the top 200 B2B brands listed on Brandwatch using four variables, namely, analytical thinking, clout, authenticity, and emotional tone. The results show that employees who rate their employer’s brand low use significantly more words, are significantly less analytic, and write with significantly more clout because they focus more on others than themselves. Employees who rate their employer’s brand highly, write with significantly more authenticity, exhibit a significantly higher tone, and display far more positive emotions in their reviews. Brand engagement drives brand equity. Brand equity is not only a significant indicator of marketing effectiveness, it is also a fundamental driver of firm value. This research demonstrates that B2B brand managers and B2B branding scholars should treat social media data disseminated by individual stakeholders, like the variables used in this study (tone, word count, and frequency), as an opportunity to tap a rich source of data with powerful automated text analysis tools to better understand and manage brand insight, brand engagement, and brand equity now and over time.";0;"Book Series";"ch";"Book Chapter";100;4;4;"Brand engagement | Business-to-business | Content analysis | Social media";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"531-532";NA;NA;2020
"255";255;255;"true";"https://api.elsevier.com/content/abstract/scopus_id/85125225391";"SCOPUS_ID:85125225391";"2-s2.0-85125225391";"Examining Country Image in Expert Electronic Word-of-Mouth: An Abstract";"Cheng Z.(.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2020-01-01";"2020";"10.1007/978-3-030-39165-2_216";NA;"Experts guide consumers’ preferences and purchase decisions because they are often perceived as unbiased and trustworthy. Countries spend billions on marketing their agricultural industries to not only their own citizens but also foreign citizens all over the world, including these experts. The wine industry is a high-value agricultural industry from the standpoints of both the main raw agricultural products (i.e., grapes) and the value added in the finished products. This paper explores the role of country image in expert ratings and reviews (i.e., expert eWOM) using large data sets from the global wine industry and the automated text analysis DICTION. We find significant differences between countries regarding price, rating, and all of the DICTION content dimensions using ANOVA tests at p &lt; 0.001. Furthermore, using regression analysis, we find significant effects for the price, all five review content dimensions, all major countries with the exception of Australia and France. The “France” variable was significant until we controlled for the influence of price. The Australia variable was nonsignificant in all regression analysis indicating that the Australian wine ratings were not statistically different than minor wine-producing countries. This paper makes several contributions to the expert eWOM and country image literatures. Producers in prestigious wine-producing countries (e.g., Italian or German) can extract a price premium related to the image of that country that is perceived by the experts as high quality. However, producers in less prestigious wine-producing countries (e.g., South African or Chilean) can signal quality through a higher price that can help them overcome their country image bias and aid the perception by experts of high quality. Producers can also manage expert eWOM by priming these reviewers to write reviews that use more active, certain, and optimistic language to increase quality ratings. Thus, governments and industry associations can build country images that encourage experts to write reviews with active, optimistic, and central language to influence quality ratings.";0;"Book Series";"ch";"Book Chapter";100;4;4;"eWOM bias | Expert reviews | Intext-mining | Wine";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"525-526";NA;NA;2020
"256";256;256;"true";"https://api.elsevier.com/content/abstract/scopus_id/85125202663";"SCOPUS_ID:85125202663";"2-s2.0-85125202663";"Special Session: Corporate Social Responsibility and AI: The Case of Fashion: An Abstract";"Perry P.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2020-01-01";"2020";"10.1007/978-3-030-42545-6_36";NA;"This paper critically examines the ethical issues of current and predicted adoption of AI within fashion. AI is a branch of computer science that combines machine learning, logic and natural language processing to emulate human intelligence. By processing vast amounts of data and recognising patterns in the data, AI produces insights and analytics at or above human capability (IEEE 2017). It has been applied to fashion in trend forecasting, personalisation, customer interaction and the use of CGI models. For example, Amazon developed “Echo Look” which combines computer vision with predictive AI and human analysis to assess a consumer’s current wardrobe choices and provide recommendations of what to wear. Users can ask the machine to rate two different possible outfits in terms of current trends and actual appearance (Gibbs 2017). Online styling subscription Stitch Fix uses machine learning algorithms to determine its customers’ preferred styles and offer personalised recommendations. AI has also been developed to mimic the role of social media influencers and models. CGI character “Miquela” has 1.6 million Instagram followers, collaborates with luxury brands and launched her own clothing brand, but is not a real person. There is a dedicated digital modelling agency (Davis 2018). Such innovations are likely to further inflame the ongoing ethical debate about using digital technologies and virtual reality at the risk of opportunities for real people, for example diminishing already scarce opportunities for black models (Graham 2018), or introducing norms of artificial appearance and personal aesthetics impossible for ‘real’ people to achieve. AI has the potential to revolutionise fashion through greater precision, accuracy and effectiveness in decision-making, but at what cost? To what extent can and should AI replicate and replace human creativity and presence in an industry sector founded on human input in creating new trends? Yet, AI that predicts garment suitability and offers greater customisation for consumers may reduce waste and over-consumption (Snow 2017). Producing items which have greater relevance could reduce returns, markdowns and warehouse space, plus increase customer satisfaction and experience. Automating repetitive tasks could save money and time for greater value-added activities, for example through the use of chatbots for online customer service. This paper applies the lens of CSR to inform the debate on whether core fashion retailing functions can and should be replaced by AI. A CSR approach argues for businesses assuming social responsibilities beyond any economic, technical and legal obligations which constitute its existence, with the objective of reconciling economic, social and environmental objectives (Davis 1973).";0;"Book Series";"ch";"Book Chapter";100;3;3;"AI | CSR | Ethics | Fashion";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"143-144";NA;NA;2020
"257";257;257;"true";"https://api.elsevier.com/content/abstract/scopus_id/85125193389";"SCOPUS_ID:85125193389";"2-s2.0-85125193389";"Exploring the Holistic Customer Experience Gestalt through its Elements: An Abstract";"Sidaoui K.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2020-01-01";"2020";"10.1007/978-3-030-42545-6_174";NA;"Customer experience (CE) is the essence of what constitutes the interaction of a service and a customer. It is multidimensional and comprised of cognitive, emotional, behavioral, sensorial, and social elements resulting from a direct or indirect interaction with a firm (Lemon and Verhoef 2016, p. 71). CE has many definitions and descriptions of its constituent elements, which adds a layer of complexity in constructing comparable studies across the board. This fragmentation poses limitations for new researchers who attempt to study CE, described as “widely used, and abused”, and at the risk of being “dismissed because of the ambiguous manner in which it has been applied” (Palmer 2010, p. 196). To this extent, the aim of this work is to (i) explore the definitions of CE and its elements, (ii) analyze conceptual and empirical studies relating to these elements, and (iii) from the previous two objectives incorporate a bottom-up approach, producing a unified elemental mapping framework enabling a more integrated and holistic manner in which CE is studied and observed in both academia and practice. Following the objectives for this work, we conduct a systematic literature review (SLR) search pertaining to CE and its elements, analyzing the different conceptualizations of its meaning and empirical foundations. We then extract and semantically group the CE elements into a unified list. After reviewing and analyzing our results we note that the literature defines CE through socioeconomic, phenomenological, or a combination of these lenses. Furthermore, we observe that these lenses are driven along service and customer centric perspectives. We build upon the inductive experiential mapping scheme used by Lofman (1991) to build a sub-elemental framework from the unified CE element list we obtained. From a theoretical standpoint, we attempt to redefine CE from the extant SLR. Additionally, we propose a sub-elemental mapping framework which would alleviate some of the conceptual fragmentation we highlighted in studying CE. From a managerial standpoint, we aim at addressing CE managers and executives by providing them with a theoretically-driven framework enabling them to map their organizational CE. As a result, a standardized means to measure and better understand CE in practice could be achieved. As a way forward, our mapping framework could provide a starting point to potentially connect technology-driven methods using artificial intelligence and machine learning algorithms to for example, utilize text-mining, and heuristic internet of things to map experiential data. This would enable researchers and managers to conduct studies in different contexts and domains, providing a customer-centric approach to CE while subsequently contributing to our holistic understanding of this concept.";0;"Book Series";"ch";"Book Chapter";100;3;3;"Artificial intelligence | Customer centric | Customer experience | Experiential elements | Framework | Systematic review";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"509-510";NA;NA;2020
"258";258;258;"true";"https://api.elsevier.com/content/abstract/scopus_id/85125179733";"SCOPUS_ID:85125179733";"2-s2.0-85125179733";"Dealing with Ambiguity in Online Customer Reviews: The Topic-Sentiment Method for Automated Content Analysis";"Boon E.";"Developments in Marketing Science: Proceedings of the Academy of Marketing Science";"23636165";NA;"2020-01-01";"2020";"10.1007/978-3-030-42545-6_63";NA;"Content analysis has become a widely used technique for the analysis of the large quantities of data that are generated online. Especially relevant for marketing researchers are customer reviews on websites such as TripAdvisor and Amazon, because they express customers’ satisfaction and they represent an important source of word-of-mouth for other consumers. Although the recent preference for sentence-constrained approaches has increased the accuracy of analytical methods, in many cases these methods still ignore some of the nuances contained within online reviews. In particular, current methods may not detect when a single topic is discussed both positively and negatively in a single review, or when a single sentence discusses two separate topics. The topic-sentiment method that is proposed in this paper addresses these two issues. It is a sentence-constrained approach that identifies ‘topic-sentiment pairs’; sentences that contain one word that describes the topic, and another that expresses the sentiment (positive or negative). To illustrate the analytical process, the method is applied to a dataset of 17,225 TripAdvisor reviews for restaurants in London. Results indicate that the topic-sentiment method offers a more nuanced approach for the analysis of customer reviews, while it retains the intuitiveness and simplicity of currently used methods.";0;"Book Series";"ch";"Book Chapter";100;2;2;"Content analysis | Customer reviews | Data analysis | Digital marketing | Online reviews | Text analysis";NA;21101077266;NA;"undefined";NA;0;FALSE;"23636173";NA;"227-238";NA;NA;2020
